你会不会骂人	我不可以骂人的，老师教育我一定要懂礼貌，尊重别人。  
如何进行“线下柜台转账”？	线下公司转账收款账户：户    名：国美在线电子商务有限公司开 户 行：中国建设银行北京铁道专业支行营业部账    号：11001013900053023958线下柜台汇款成功后，需用户点击我的订单，页面自动跳转至待支付订单页面，点击确认付款按钮，显示下图所示内容，填写完整后，点击确认付款提交即可。线下公司转账方式的到账时间是1-3个工作日。图示请见：http://help.gome.com.cn/question/5083.html
公司转账不成功，如何处理？	国美审核订单以汇款人名称与发票抬头信息为依据，如两者信息不一致时，需汇款人将汇款凭证的扫描件和公司转账证明函(见附件一)盖章扫描件发至客服邮箱service1@gome.com.cn，并在邮件中备注订单号和联系电话，我们将会有专人为您处理。 附件请见：http://help.gome.com.cn/question/5084.html
公司转账有什么注意事项？	在填写支付订单页面时，务必在汇款备案中填写订单号。
如何填写发票信息？	在提交订单时，您可以选择开具的发票类型、抬头、内容等信息:http://help.gome.com.cn/question/5819.html
开具发票时商品品类说明	电器类商品包括：手机、对讲机、手机配件、照相机、摄像机、照片打印机、摄照配件、数码黑小、移动设备、GPS导航、笔记本、台式机、平板电脑、电脑配件、厨房电器、厨房小家电、卫浴电器、水设备、环境电器、美容美发、按摩保健、测量仪、衣物护理、日用家居、办公设备、办公耗材、办公文具、办公家具、电视、家庭影音、冰箱/冷柜、洗衣机、空调、创意电器、时尚3C、运营商、五金建材、汽车用品、家庭治疗仪、家庭测量仪、建材、汽车用品；图书类商品包括：图书，音像制品，教材；百货类商品包括：电器类、图书类商品外的其他商品；
联营商品是否也可以享受此发票相关制度？	此制度只针对国美在线自营商品。
不开发票或更改发票内容有什么影响？	当您的商品在享受三包服务时，需根据发票确认您的购买日期，为了保证您能充分享受生产厂家提供的售后服务，如果您购买的是数码类、手机及配件、笔记本、台式机、家电类商品，不管您是否需要开具发票，我们都将随单为您开具，发票内容默认为您订购的商品全称。如果您发票内容修改为其他项目，则您购买的商品将无法享受售后退换货、维修服务，请您谨慎选择发票内容。
发票遗失，是否可以补开？	您收到商品时，请检查发票并在送货签收单上签字。一旦签字，即代表您已经收到发票，并且发票无误。对于客户人为因素引起的发票遗失，我们将无法为您补开。
发票开具特殊说明	为了您的个人利益建议您发票抬头使用“个人”或“姓名”，如发票抬头为公司名称，有可能部分品牌保修时间会从商品出厂时间起进行计算。
什么是电子发票？	电子发票是增值税电子普通发票的简称，它是指在购销商品、提供或者接受服务以及从事其他经营活动中，开具、收取的以电子方式存储的收付款凭证。国美在线开具的电子发票均为真实有效的合法发票。其法律效力、基本用途、基本使用规定等与税务机关监制的增值税普通发票相同，可作为用户报销、维权、保修的有效凭据。《国家税务总局公告2015年第84号》
购买哪些品类商品可以开具电子发票？	在国美在线官方网站购买的自营商品(不含充值、购票等虚拟商品)均可开具电子发票。
如何选择开具电子发票？	在提交订单页，填写“发票信息”时可以选择“电子发票”选项 http://help.gome.com.cn/question/5097.html
下单后，什么时间能获得电子发票？	货到付款的订单一般在订单完成后的第二天即可获得电子发票。在线支付的订单，一般在订单完成后即可开具电子发票。
如何获取电子发票？	订单完成后，用户可在“订单详情页”中的“付款信息”页面下载PDF格式电子发票。http://help.gome.com.cn/question/5099.html
如果选择了电子发票，后来又想要纸质的发票怎么办？	电子发票与纸质发票具有同等法律效力，是公司报销、售后维修、及用户维权的有效凭据。购买时需根据需要选择发票类型，如需更换纸质发票可联系国美在线客服人员。
增值税发票开具说明	增值税专用发票抬头只能是公司名称，不能为个人且内容只能选择商品明细，不支持修改；根据国家税务总局增值税专用发票管理规定,商业企业一般纳税人零售的烟、酒、食品、服装、鞋帽（不包括劳保专用部分）、化妆品等消费品不得开具增值税专用发票（国税发【2006】156号）。因此，您购买的上述商品订单根据国税文件将不能开具增值税专用发票。 
增值税发票认证的有效期是多长时间？	增值税发票认证有效期为审核通过后2年
增值税发票申请信息可以变更吗？	如您需要更改待客服审核的增值税专用发票的信息，需要联系客服为您审核失败后重新提交申请。如您需要更改已审核通过的增值税专用发票的信息，需要注册新的会员账号再次申请。
订单提交后，能否修改发票开具的形式？	不可以。因为电子发票是系统自动发送，一旦提交申请，无法修改。
增值税发票相关注意事项	1、增值税专用发票抬头只能是公司名称，不能为个人且内容只能选择商品明细，不支持修改 2、原则上增值税一般纳税人才能开具增值税专用发票；政府机关、学校等非一般纳税人，我司将依据税法相关规定，给您开具普通机打销售发票。3、根据国家税务总局增值税发票管理规定,商业企业一般纳税人零售的烟、酒、食品、服装、鞋帽（不包括劳保专用部分）化妆品等消费品不得开具专用发票（国税发【2006】156号）。因此，您采购上述产品的订单将不能取得增值税专用发票。4、增值税发票认证，同一家公司资质仅可认证一个会员账号，如您使用不同账号多次认证，我司将以第一次审核通过为准。
如何验证电子发票真伪？	1、北京电子发票：电子发票下载成功后，用户可凭借电子发票上所标示的发票代码、发票号码、或防伪码在国美在线进行验证，也可通过国税局授权的发票服务平台或北京市国家税局网站进行查询验证。2、上海电子发票：电子发票下载成功后，用户可凭借电子发票上所标示的发票代码、或发票号码在国美在线进行验证，也可通过国税局授权的发票服务平台或上海市国家税局网站进行查询验证。
普通发票如何获取？	1、油烟机、灶具、热水器、消毒柜、保险柜、净水器（机）、银幕、音箱产品的相应发票于订单状态完成7个工作日后，部分电脑需订单状态完成10个工作日后，为您寄出商品发票；（如您急需发票可发送邮件至 service1@gome.com.cn 邮箱，邮件标题请注明“发票+2开头的配送单号”内容需要：1.配送单号 2.姓名 3.联系电话 4.订单妥投时间 5.发票邮寄地区 6.商品型号 7.更改发票邮寄地址/其他订单号码）。2、除上述商品外的家电、数码、家居百货类发票，均与您的商品同时送达，请您在签收前确认发票与商品是否完好；3、如您在国美在线第三方商家购买的商品，发票将在订单妥投后的7个工作日内由商家为您开具并寄出。
普通发票开具说明	1、普通发票内容默认为您订购的商品全称和型号，请在订单提交时确认好您所需开具的发票抬头，订单生成后发票抬头将无法修改：数码类、手机及配件、笔记本、台式机、家电类商品，发票默认开具商品明细；（1）百货类商品，发票内容可以选择劳防用品、化妆品、装修材料、办公用品、箱包、日用品、明细、玩具、家居用品食品、学生用品、服装、饰品；（2）其他商品，发票内容可以选择商品明细、电脑配件及耗材；
什么是个人账户？	个人账户：是您在国美在线的个人专属账户。当您办理退货、取消订单产生的退款不支持原路返回时，退款将退至您的个人账户。查看退款说明（ http://help.gome.com.cn/question/5554.html ）通过“我的国美-账户余额”可查看您的账户余额；通过“我的国美-账户安全”查看设置账户安全等级、手机和邮箱验证情况、是否设置支付密码；通过“我的国美-我的美豆”、“我的国美—优惠券”查看美豆、优惠券信息。  
什么是支付密码？	支付密码是您账户安全、资产安全的重要保障，在使用红券、余额支付订单或申请提现时需要输入支付密码加以验证。
如何设置支付密码？	第一步：验证手机（为了保护您的账户、资产安全，在设置支付密码前，需要先进行手机验证。） 点击进入“我的国美-个人中心-账户安全”进行手机验证（为了您的账户安全，建议同时进行邮箱验证）。第二步：获取手机验证码设置支付密码需要通过验证的手机获取手机验证码。
如何用账户余额进行订单支付？	在您支付订单时，可以在“订单提交页面”选择使用个人账户余额支付，如账户余额不足时，差额部分需使用其他支付方式进行支付。（http://help.gome.com.cn/question/5089.html）
账户余额是否可以提现？	您个人账户内的余额可随时操作提现服务，即将余额转至自己的银行卡内，目前支持的银行分别有：工商银行、农业银行、建设银行、招商银行、中国银行、光大银行、交通银行、全国邮储银行、广东发展银行、兴业银行的借记卡。
账户余额如何提现？	提现流程：登录“我的国美-账户余额-提现 ”填写提现信息并提交（注：提现银行卡的账户信息必须与您的付款银行账号中填写的信息一致，如您是现金支付请忽略此提示）http://help.gome.com.cn/question/5091.html
余额提现多长时间可以到账？	您成功申请提现后，我司处理周期为1个工作日。银行到账周期一般为2-5个工作日。但由于各家银行处理速度不同，到账时间会略有差异，请以银行处理时间为准。
账户安全	账户安全：是指为了避免您在国美在线的个人专属账户不被他人非法使用和盗取的行为出现，在用户成功注册后，建议您及时进行手机验证设置强度较高的登录密码和支付密码，保证实时关注账户变化情况。首先，在登录页输入您的用户名和密码，登录至国美在线网站，点击“我的国美-账户安全”，即出现下图页面：（图示请见：http://help.gome.com.cn/question/5680.html ） 其次，通过设置和验证等方式，保障账户的安全性：1、登录密码的设置是保证账户安全的关键因素之一，可由字母、数字、符号组合的形式，且保证在6-20个字符之间，增加密码强度；2、邮箱和手机的验证是可以实时了解账户的动态情况，二是可以自助找回忘记的支付密码和登录密码，三是可以通过手机和邮箱接收我司的活动信息，享受最前沿的优惠活动和心动价格；3、支付密码的设置是为了保证账户中的优惠券或余额的使用安全，在购物的过程中，如使用账户中已有的优惠券或余额，需输入正确的支付密码后才可继续操作并顺利完成购物。4、会员卡密码的设置是为了保证您在国美门店的消费积分等的安全使用而新增的应用功能，使您在门店的消费记录足不出户就可以网上同步浏览。温馨提示：如在他人电脑或不能保证账户安全的地址登陆账号购物时，请勿保存登录信息，以免造成账户丢失或易被盗取等情况发生。
订单提交后多长时间出库、多长时间可以收到商品？	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，配送时效详见配送范围查询；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。
自营大家电下单后最多可保留几天？	自下单成功时间起计算，最长保留10天（含10天），超期系统将自动取消。
关于国美众筹	国美众筹由发起人、支持人、国美平台构成。国美众筹平台致力于帮助有创新精神的有志之士宣传自己的创意并获得支持，实现自己的梦想。
“白拿”具体是什么模式？	用户在白拿频道页面投资理财产品，可得到理财产品对应的活动商品，同时理财产品到期后即可拿回所投本金，是否包含收益以实际选择投资产品为准。
参与“白拿”后，怎样得到商品？	理财产品满标后，国美在线将为您安排配送事宜。您可在“我的订单”-“其他订单”-“白拿订单”中查询订单状态。
商品的售后是怎样的？	商品如出现质量问题，可以进行换货，换货规则同国美在线换货规则；由于商品等同于赠品，故无法进行退货，如果拒收或退货则视为放弃该赠品。
用户投资理财产品后，在哪里查看收益情况？	理财产品满标后T+1日，开始计算存款利息，并显示到期还款的具体日期。您可在“我的金融”-“我的理财”中查询收益情况。
使用网银支付到期后本金以及收益返还到哪里？	产品到期后，您投资的本金及收益将始终返还至您第一次网银支付时绑定的理财返款卡中，如更换理财返款卡，请联系国美在线客服。
使用快捷支付到期后本金以及收益返还到哪里？	产品到期后，您投资的本金及收益将原路返还至您投资的银行卡账户中。
白拿都支持哪种支付方式？	白拿支持银行卡快捷支付、网银支付
什么是金融理财券？	金融理财券，是指国美在线金融会员通过有效渠道获取的国美在线金融的理财券。会员可根据金融理财券的相应规则，在国美在线平台上使用。
如何查看理财券？	我的金融-我的理财券
金融理财券怎么使用？	金融理财券，可以在购买金融产品中使用，需要在购买过程中选择对应的理财券。以投金宝购买流程为例：1、选择想要购买的投金宝，点击“立即投资”2、如果账户里有对应产品的理财券，系统会自动选中最优的“理财券”3、勾选，想使用的理财券4、查看“交易详情”可查看理财券使用情况。标的计息后可以查看具体加息优惠数值，加息优惠将在最后一期与本金一同返回给用户
什么是国美在线一元夺宝？	国美在线一元夺宝是国美在线推出的全新平台业务。商品被平分成若干等份，支持者可以支持一份或多份，当等份全部售完后，由系统根据平台规则计算出最终获得商品的支持者。
怎么参与国美在线一元夺宝？	第1步：用户登陆或注册国美在线账号；第2步：进入国美在线一元夺宝(1.gome.com.cn)，选择喜欢的商品参与夺宝（每个商品分配对应数量的号码，并且这些号码都是唯一的，用户支付1元，可以获得其中1个号码，用户获得的号码由系统随机分配，获得号码就是参与成功了）；第3步：等待揭晓，幸运者获得商品（当商品的所有号码都被分配完毕后，系统根据公式计算出1个幸运号码，持有该号码的用户，直接获得该商品。）；第4步：夺宝成功用户等待发货，未获奖用户订单完结。
幸运号码的计算方法是什么？	取该商品最后购买时间前一元夺宝频道所有商品的最后100条购买时间记录；按时、分、秒、毫秒排列取值之和，除以该商品总参与人次后取余数；余数加上10000001 即为“中奖夺宝码”。
怎么确定是否夺取成功？	您夺宝成功后会收到提示短信，提示您尽快确认收货地址及联系方式。也可以登录国美在线金融>我的夺宝>夺宝记录里查看夺宝是否成功。
夺宝成功后多久能发货？	夺宝成功后会在3-15个工作日内安排发货，部分热销爆品发货周期会相对延长，敬请谅解。
夺宝成功后未在规定时间内填写地址怎么办？	如在7日内未填写收货地址视为放弃中奖商品。
关于售后服务	一元夺宝商品由一元夺宝商家进行发货。售后服务由商家负责，商品可享受厂家所提供的全国联保服务，非质量问题，不在三包范围内，不予以退换货。质量问题可换货，如退货等同放弃中奖商品，请尽量亲自签收并当面拆箱验货，如果发现运输途中造成了商品的损坏，请不要签收，可以拒签退回并要求重新发货。如遇商品质量问题并已签收，请在签收24小时之内反馈国美在线客服，超时反馈，国美在线和商家均不承担责任。
我参与了一元夺宝能取消订单吗？	一元夺宝参与成功后不能取消订单。
订单怎么自动确认收货了？	当物流信息显示配送成功，七天之后系统将自动确认收货。
当期剩余人次小于我想要参与的人次怎么办？	方案一：可以先参与当期，再参与下一期；方案二：等待新一期开期后参与。
付款失败怎么办？	付款失败请查看是否已扣款，若款项未扣除，欢迎您重新支付继续夺宝，若款项已扣除，请及时与我们联系。
为什么我参与很多次都没有成功？	夺宝具有很大的随机性，扩大支持金额可以增加夺宝成功概率，并非参与就能抢到宝物。夺宝有风险，建议用户理性参与。
如何查看夺宝订单？	用户在电脑浏览器中输入1.gome.com.cn,点击右上角“我的金融”， “我的夺宝”即可查看自己的夺宝订单。
夺宝私人顾问	如果您有任何意见或建议，请添加私人夺宝顾问虎妞（微信号：gomezxjr）金融问题反馈，十分感谢！
什么是美通卡？	美通卡是在国美在线发行的预付卡，购买国美在线自营商品时使用（“自营商品”指在商品详情页明确标识为“国美自营“的商品，但投资金融、投资金银类、汽车、礼品卡券、虚拟商品、节能补贴和第三方卖家商品不在此内）。
美通卡的有效期一般是多久？	美通卡只能在国美在线购买自营商品时使用，有效期为36个月，具体有效期请登录国美在线，在“我的国美”页面中，选择”美通卡订单”，进入页面查看。
美通卡购买成功后可以退货吗？	购买成功的美通卡不支持退换货。
使用美通卡支付的订单退货后如何退款？	1、使用美通卡全额支付的订单，产生退款时，美通卡支付金额会即时返还到原美通卡中；2、使用美通卡与在线支付混合支付的订单，产生退款时，在线支付部分金额退款完成后，美通卡支付部分金额才会即时退还到原美通卡中。
美通卡支付的款项可以退至账户余额吗？	不可以，在成功操作订单取消、订单拒收返回我司库房、退货商品入库完成后，美通卡支付部分会退回到您支付的美通卡中。
美通卡如何赠送他人使用？	如果您的美通卡尚未绑定您的账号，实体卡可以直接转赠他人，电子卡可将卡号和卡密发送给想要赠送的人。
美通卡电子卡密码如何获取？	当您购买电子卡后，在我的国美-我的订单-美通卡中找到购买电子卡的订单，点击查看卡密，输入手机验证码后即可查看卡密。
哪些商品不支持使用美通卡？	1、团购、抢购、投资金融、投资金银类、汽车、礼品卡券、虚拟商品、节能补贴和第三方卖家商品不支持使用美通卡；2、飞牛网商品暂不支持使用美通卡。
购物时使用美通卡支付的金额开具发票吗？	因为美通卡在销售时已开具发票给购买者，所以在购买商品时美通卡所支付金额不再开具发票。
美通卡是否可以在国美门店使用？	美通卡只可以在国美在线消费，暂不支持国美门店使用。
如何入驻？	http://www.gome.com.cn/join/
如何注册国美在线账号？	如您还没有国美在线账号，请点击注册，详细操作步骤如下： 1. 打开国美在线首页，在左上方，点击“注册”按钮；2. 进入到注册页面，请填写您的手机、邮箱等信息完成注册；3. 注册成功后，请完成账户安全验证，来提高您的账户安全等级。详见账户安全设置
如何使用扫码登录？	1、打开电脑端国美在线登录页面，点击下图右下角处图标，切换到扫码登陆页面2、登录国美在线手机客户端，点击左上角扫码按钮，扫描屏幕上的【二维码】3、扫码成功后，在手机端点击【登录电脑版国美】，即可登录成功。
可以拨打客服热线订购商品吗？	您可联系“在线客服”或拨打客服热线4008-708-708由客服人员帮您下单购买心仪商品。
遇到质量问题，电子发票是否能作为维权的依据？	电子发票是指在购销商品、提供或者接受服务以及从事其他经营活动中，开具、收取的以电子方式存储的收付款凭证，国美开具的电子发票均为真实有效的合法发票，与传统纸质发票具有同等法律效力，可作为用户维权、保修的有效凭据。根据北京市国家税务局、北京市地方税务局、北京市商务委员会、北京市工商行政管理局《关于电子发票应用试点若干事项的公告》（2013年第8号）、《关于扩大电子发票应用试点范围若干事项的公告》（2013年第18号文）；上海市国家税务局、上海市商务委员会、上海市发展和改革委员会、上海市财政局上海市工商行政管理局《关于上海市电子发票应用试点的公告》（2013年第6号文）；成都事国家税务局、成都市商务局、成都市发展和改革委员会、成都市财政局、成都市工商行政管理局《关于成都市电子发票应用试点若干事项的公告》（2014年第1号文）；广州市国家税务局、广州市发展和改革委员会、广州市经济贸易委员会、广州市财政局、广州市对外贸易经济合作局、广州市人民政府国有资产监督管理委员会、广州市工商行政管理局、广州市地方税务局《关于广州市电子发票应用试点的公告》（2014年第5号文），电子发票与纸质发票具有相同法律效力，可作为售后、维权凭据。
电子发票什么时候开具？	电子发票一般在订单完成后48小时内开具。
电子发票如何更改为纸质发票，更改后邮寄时间？	电子发票与纸质普票具有相同法律效力，是售后维修、用户维权的有效凭据，个人用户选择开具电子发票，可自行下载打印，若后期需要换取纸质普票，需要承担发票邮寄的运费，因此请谨慎选择发票类型。若涉及相关电子发票更换问题，请直接联系客服处理。温馨提示：1）发票换开时效：电子发票（个人抬头）换开纸质发票（个人抬头）可在30天内换开；电子发票（个人抬头）换开纸质发票（公司抬头）可在60天内换开。2）发票开具时效：财务接到通知后10-15个工作日内开具并寄出。
电子发票如何下载？	登录国美在线网站，点击打开订单详情，便可查看到电子发票的开具信息（如下图）；点击“下载”文字链，便可直接下载、查看开具成功的蓝字电子发票PDF文件。http://help.gome.com.cn/question/5825.html
发票中是否会显示运费金额或优惠券使用金额？	发票金额为您购买商品实际的付款金额，使用优惠券、美通卡及美豆等方式支付的部分不在发票金额中体现，发票金额含运费金额。
现在已经收到发票，请问我还可以修改发票内容么？	如果您需要更改由我们国美开具的发票，请您联系客服处理，若发票符合修改的前提条件，由此产生的运费由责任方承担。
发票开具需注意什么？非明细内容是否会有影响？	（1）发票金额不能高于订单实际支付金额。若您购买的是家电、3C等商品，为了售后服务的保障，国美在线均会为您开具发票。发票内容为您所购买的商品明细，发票金额为您购买商品实际的付款金额，使用优惠券、美通卡及美豆等方式支付的部分不在发票金额中体现，发票金额含配送金额。（2）若您购买的是家电、3C等商品，非明细发票内容，厂家售后无法保修请您谨慎选择，祝您购物愉快。
电子发票如何查验真伪？查询地址？	电子发票下载成功后，客户可凭借电子发票上所标示的发票代码、发票号码、检验码在国家税局网站进行查询验证（首次查验请安装根证书）。全国增值税发票查验平台 https://inv-veri.chinatax.gov.cn/ 具体的详见：http://help.gome.com.cn/question/5851.html
第三方卖家商品发票除了开具商品明细之外是否可以开具其他内容？	第三方卖家销售的商品发票由卖家开具、寄出，发票内容由卖家决定。根据卖家经营范围不同，所能开具的发票内容也会不同，以您实际收到的发票为准，也可联系在线客服咨询可以开具的发票内容。
纸质发票不小心遗失，是否可以补开？	您收到商品时，请检查发票并在送货签收单上签字。一旦签字，即代表您已经收到发票，并确认无误。对于客户人为因素引起的发票遗失，将无法再次补开，请妥善保管发票，敬请谅解。
电子发票在未开具前，能否修改发票开具的形式？	不可以。因为电子发票是系统自动发送，一旦提交申请，无法修改，所以请您下单时谨慎选择填写。
需要更换发票时运费由谁承担？	收到发票后，如因国美在线原因，票据抬头、内容或金额错误，请您致电客服热线，由客服人员为您办理换发票事宜，往返快递费用由国美在线承担；如个人原因，往返快递费由个人承担。
如果增值税发票内容开具错误怎么办？	如因商家原因所致票据抬头、内容或金额错误，请在自开票日期起30日内联系客服人员为您安排办理换票事宜。若您选择开具其他类型发票，将无法更换为增值税专用发票，敬请谅解。
增值税发票在什么时间为我开具和邮寄？	增值税发票会在订单妥投后7-15个工作日内开具并寄出，若您在订单妥投后超过15个工作日仍未收到发票，请与国美客服联系，我们会优先为您安排处理。补充特殊说明：订单如在退款处理状态，将不会开具增票。
我的增票资质信息填错了怎么办？	若您的增票资质信息有变动，请在我的订单——我的国美——增票认证中进行修改，重新填写增票开票信息，如因您个人填写失误造成发票开具错误，将会导致贵公司不能及时入账抵扣，带来税金损失，故请您务必认真校对所填开票信息。
我的增值税发票由谁开具？	一般情况下，国美配送的商品由国美开具并邮寄发票；第三方配送的商品由商家开具并邮寄发票。
如果我使用同一账号预定了多个订单，增值税发票可以合并开具吗？	目前，一定期间内妥投的订单，如果公司抬头属于同一家公司，我们会合并相应的订单，在发票限额内开具发票，如您有特殊需求，需要一个订单开一张发票，请提前与国美客服联系。
普通发票（纸质、电子）是否能换增值税发票？	客户订单在180天以内的可以联系国美在线客服，国美在线可同意换开，超过180天的则不予换开。
什么是“邀请好友”？	邀请人通过“邀请好友”方式邀请自己的好友进入到国美在线金融，被邀请人通过邀请链接进入国美在线金融后获得相应的奖励。被邀请人进入国美在线金融完成投资定期理财(投金宝/固收/票据)后，邀请人获得相应的奖励。
货品包邮吗?	您好，不同商品不同情况哦~具体的建议您可以点击http://help.gome.com.cn/question/104.html详细看下哦~
你是开什么发票？	为保障您的合法权益，在国美在线购物时(虚拟商品、手机充值除外)，我司均可为您开具国家税务下发的增值税普通发票（电子发票）或增值税专用发票。发票是有效交易的重要凭据，可作为您单位报销及享受退换货、保修的有效凭据，请您妥善保管。
能送到村里吗	部分偏远地区国美在线支持送达，具体配送范围请查询：配送范围查询http://help.gome.com.cn/question/9.html
可以安装吗	新购商品的安装一般由厂家提供上门安装服务，除特殊商品（如：个别品牌彩电、消毒柜、燃气灶、空调等）。具体的建议您可以参考下http://help.gome.com.cn/question/5569.html、http://help.gome.com.cn/question/5564.html链接内容哦~
什么是合约计划？	合约计划是由极信运营商推出活动，用户只需承诺在网一定时间，即可享受的优惠活动。 活动包括：合约优惠购机（包括购机送话费、预存话费送手机）、选号赠话费、存话费赠话费（存费送费）等，具体以每家极信运营商实际推出的活动为准。
什么是合约机？	合约机是指用户购机时承诺一定的在网时间，即可享受运营商提供的购机优惠补贴或者话费赠费。
如何获得商家的联系方式？	在课程详情页会显示“机构信息”，可点击查看商家电话和地址。
课程类填错手机号怎么办？	手机号码填写错误无法操作修改，下单前请务必确认手机号码。已发送短信无法取消，因填错手机号导致消费码被他人使用、使用失败等情况，国美在线将不承担任何责任。
怎样获得商家联系方式？	游学类课程支付成功后，请保持订单联系人手机畅通，商家会与您电话联系，沟通游学出行事宜。如仍有疑问您可拨打商家客服电话4000028080。
消费码获取时间是多久？	订单支付成功后一般1-10分钟之内会收到消费码短信温馨提示：若在规定时间内未收到购买成功短信，有可能是购买课程不足造成，后期会有退款短信通知，给您带来的不便，敬请谅解。
如何查询课程消费码是否已使用？	进入[我的订单]→[教育订单]，找到您的游学课程订单，点击“订单详情”，即可查看消费码是否已使用。
游学类填错手机号怎么办？	手机号码填写错误无法操作修改，下单前请务必确认手机号码。已发送短信无法取消，因填错手机号导致消费码被他人使用、使用失败等情况，国美在线将不承担任何责任。
请问这款商品是自营的吗？	亲，请您查看页面“服务”后面，显示由国美在线安排配送或国美在线配送均属于自营哟~ 
请问这款商品现在有什么活动？	亲，活动均以商品页面显示为准，您也可以到首页滚动栏查看各品类活动哟~ 
请问这款商品有货吗？	亲，请您在商品页面“送至”后面选择您的收货地区，即会显示是否有货哟~ 
请问包邮吗？	亲，不同商品及地区运费收取规则不同，详情您可以点击：http://help.gome.com.cn/article/225-0-0.html?intcmp=samsung-1000043252-2 查看详情~ 
请问这款商品售后是怎样的？	亲，我司所售商品均按照国家三包法执行（部分特殊商品除外），详情您可以点击商品页面售后服务查看详细说明，么么哒~ 
请问这款商品从哪里发货？	自营大家电均由当地分部安排发货配送，小件商品由指定库房发货，联营商品由商家自有库房发货，详情可联系商家客服咨询确认（特殊商品除外）~
请问这款商品包安装吗？	亲，目前空调除外的商品均由厂家负责安装，您可以直接拨打厂家客服电话预约安装，部分自营空调由我司负责安装，详情请点击：http://help.gome.com.cn/article/325-0-0.html
请问商品可以保证是正品吗？	亲，请您放心，国美在线向您承诺所售商品均为正品行货，自带机打发票，享受国家三包，与您亲临商场享受同等的质量/强 ，自营商品会随商品配带发票（部分商品需要签收商品后单独邮寄）/呲牙另我们还为您提供具有竞争力的价格，请您放心购买！/强
请问这款商品还可以再优惠吗？	亲，网站的价格都是正常销售价格，不议价哦，相比其他家已经很优惠啦，看好了就赶紧下手吧，么么哒~
请问发什么物流？	亲，国美自营商品均由国美针对不同地区安排不同物流，非自营商品均由商家自行安排，详情请点击：http://help.gome.com.cn/article/227-0-0.html 查看
请问可以使用什么支付方式？	亲，目前我司支持在线支付（含支付宝），货到付款，邮局汇款，分期付款等等支付方式，下单时会显示支持的支付方式，请以下单为准~ 
请问什么时候可以发货？	自营小件商品发货时效均为24小时，大家电以分部与您预约为准，联营商品为72小时发出(有特殊说明的商品除外）~ 
请问发的什么快递？	亲，若您的订单已发货，PC端请您点击查看订单，即可看到所发物流及物流信息，APP端点击订单跟踪即可哟~
请问开具发票吗？	亲，请您放心，国美在线向您承诺所售商品均为正品行货，自带机打发票，享受国家三包，与您亲临商场享受同等的质量/强 ，自营商品会随商品配带发票（部分商品需要签收商品后单独邮寄）/呲牙另我们还为您提供具有竞争力的价格，请您放心购买！/强
请问如何取消订单？退款退到哪里？	亲，若您的订单还未发货，请联系人工客服, 为您取消哦，一般在线支付退款方式均为原路返还~ 
请问如何申请退换货？	亲，若您的订单已完成，请点击确认收货后即可申请退换货，7天内可申请退货，15天内可申请换货~
请问退换货运费由谁承担？	亲，请您放心，我司有完善的售后体系，自商品妥投之日起，7日内可退货，15日内可换货，并支持7天无理由退货，无理由退货运费需要客户承担，涉及费用及相关详情，您可以参考:http://help.gome.com.cn/html/shfw/thh-zy.html
请问退换货时间是几天？	亲，请您放心，我司有完善的售后体系，自商品妥投之日起，7日内可退货，15日内可换货，并支持7天无理由退货，无理由退货运费需要客户承担，涉及费用及相关详情，您可以参考:http://help.gome.com.cn/html/shfw/thh-zy.html
请问几天可以完成退换货？	退换货一般是自收到问题商品之日起1-15天之内为您处理完成，具体根据不同情况及不同商品而不相同，您可以点击人工客服咨询详情哟~
请问无理由退换货的规则是什么？	亲，请您放心，我司有完善的售后体系，自商品妥投之日起，7日内可退货，15日内可换货，并支持7天无理由退货，无理由退货运费需要客户承担，涉及费用及相关详情，您可以参考:http://help.gome.com.cn/article/307-0-0.html
订单编号	亲，查询订单信息，您可以点击-我的订单查询物流信息或联系在线客服人工服务哦` 
在不	↗天空一声巨响，小E闪亮登场 
上帝  这是什么客服啊	亲呐，我是机器人小E 
国美在线服务宗旨	被信任是一种快乐
有发票吗	请您放心，国美在线销售的商品均为正品行货，享受国家三包，开具正规机打发票
在	Ps↗天空一声巨响，小E闪亮登场 
在么	Ps↗天空一声巨响，小E闪亮登场 
请问物流配送需要几天？	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。 
人工客服不在啊	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
我要退货，你们的地址	申请退货审核通过之后，在退换货记录里面查询即可呢~~
我要退货在哪申请啊?	自订单妥投之日起7日内可申请退货，确认收货之后就会有申请的按钮哦~~~
